Player,JerseyNumber,Position,GamesPlayed,OffenseTotalSnaps,OffensePassingSnaps,OffensePassBlockingSnaps,OffenseRushingSnaps,OffenseRunBlockingSnaps,OffenseOverallGrade,OffensePassingGrade,OffensePassBlockingGrade,OffenseRushingGrade,OffenseRunBlockingGrade,OffensePenalties,Team
A.J. McCarron,#04,QB,2.0,17,7.0,0.0,0.0,10.0,59.0,58.4,-,-,60.0,0 (0),cincinnati-bengals
Ted Karras,#64,C,17.0,"1,075",0.0,725.0,0.0,350.0,67.4,-,69.6,-,64.2,1 (0),cincinnati-bengals
Tyler Boyd,#83,WR,17.0,824,610.0,1.0,2.0,211.0,59.5,64.4,66.2,59.1,30.4,2 (0),cincinnati-bengals
Joe Mixon,#28,HB,17.0,751,391.0,71.0,261.0,28.0,71.1,68.8,29.7,73.8,59.9,2 (1),cincinnati-bengals
Tanner Hudson,#87,TE,12.0,276,240.0,2.0,0.0,34.0,73.0,72.5,52.2,-,74.5,1 (0),cincinnati-bengals
Alex Cappa,#65,G,17.0,"1,066",0.0,716.0,0.0,350.0,64.9,-,58.6,-,67.3,4 (0),cincinnati-bengals
Jake Browning,#06,QB,9.0,468,300.0,1.0,11.0,156.0,79.3,74.4,60.9,87.8,60.0,8 (0),cincinnati-bengals
Cody Ford,#61,G,12.0,78,2.0,31.0,0.0,45.0,53.9,54.4,41.5,-,58.1,0 (0),cincinnati-bengals
Max Scharping,#74,C,2.0,13,0.0,5.0,0.0,8.0,78.1,-,77.9,-,78.2,0 (0),cincinnati-bengals
Trayveon Williams,#32,HB,17.0,156,98.0,27.0,15.0,16.0,58.9,51.1,75.1,61.6,52.5,0 (0),cincinnati-bengals
Trenton Irwin,#16,WR,16.0,429,277.0,2.0,0.0,150.0,57.0,60.8,59.1,-,31.0,0 (0),cincinnati-bengals
Stanley Morgan,#17,WR,1.0,4,3.0,0.0,0.0,1.0,54.5,55.8,-,-,60.0,0 (0),cincinnati-bengals
Jonah Williams,#73,T,17.0,"1,087",0.0,730.0,0.0,357.0,58.5,-,57.9,-,54.0,5 (2),cincinnati-bengals
Drew Sample,#89,TE,17.0,496,195.0,84.0,0.0,217.0,60.0,52.9,68.1,-,61.5,0 (0),cincinnati-bengals
Mitchell Wilcox,#84,TE,17.0,229,71.0,19.0,0.0,139.0,46.7,51.8,74.0,-,45.8,1 (0),cincinnati-bengals
Tee Higgins,#05,WR,12.0,573,418.0,1.0,0.0,154.0,72.1,70.9,65.7,-,66.8,3 (1),cincinnati-bengals
Joe Burrow,#09,QB,10.0,602,422.0,0.0,17.0,163.0,77.9,76.8,-,68.8,60.0,5 (0),cincinnati-bengals
Chris Evans,#25,HB,7.0,24,18.0,2.0,2.0,2.0,51.9,52.0,13.6,63.3,60.0,0 (0),cincinnati-bengals
Jackson Carman,#79,T,1.0,12,0.0,5.0,0.0,7.0,56.6,-,48.5,-,57.7,0 (0),cincinnati-bengals
Ja'Marr Chase,#01,WR,16.0,889,631.0,0.0,3.0,255.0,85.3,86.7,-,52.8,45.1,2 (1),cincinnati-bengals
Cordell Volson,#67,G,17.0,"1,087",0.0,730.0,0.0,357.0,58.3,-,46.7,-,64.0,3 (1),cincinnati-bengals
Charlie Jones,#15,WR,8.0,44,30.0,0.0,2.0,12.0,65.8,67.9,-,62.2,37.6,0 (0),cincinnati-bengals
Chase Brown,#30,HB,11.0,93,36.0,8.0,44.0,5.0,63.9,81.1,26.7,59.0,58.7,1 (0),cincinnati-bengals
Andrei Iosivas,#80,WR,16.0,266,159.0,0.0,0.0,107.0,61.2,62.1,-,-,54.5,1 (1),cincinnati-bengals
Shedrick Jackson,#12,WR,1.0,5,2.0,1.0,0.0,2.0,60.7,58.8,65.4,-,59.4,0 (0),cincinnati-bengals
