OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Rank,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Player,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_JerseyNumber,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_Position,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_GamesPlayed,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPenalties,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_PassBlockingPressuresAllowedEfficiency,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnaps.1,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetGrade,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnaps,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotalSnapsPercentage,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedSacks,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHits,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedHurries,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedTotal,OFFENSE-PASS-BLOCKING_2023_OFFENSE-PASS-BLOCKING_2023_TruePassSetPressuresAllowedEfficiency
1.0,Brian Allen,#55,C,2.0,14.0,14.0,100.0,79.8,0 (0),12.0,100.0,0.0,0.0,0.0,0.0,100.0,4.0,4.0,100.0,75.2,4.0,100.0,0.0,0.0,0.0,0.0,100.0
2.0,Davis Allen,#87,TE,12.0,109.0,17.0,15.6,75.5,0 (0),14.0,14.1,0.0,0.0,1.0,1.0,96.4,42.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
3.0,Ben Skowronek,#18,WR,15.0,96.0,2.0,2.1,73.7,1 (0),2.0,2.2,0.0,0.0,0.0,0.0,100.0,43.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
4.0,Puka Nacua,#17,WR,18.0,659.0,9.0,1.4,72.0,2 (0),9.0,1.5,0.0,1.0,0.0,1.0,94.4,339.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
5.0,Austin Trammell,#81,WR,9.0,41.0,2.0,4.9,69.6,0 (0),2.0,5.6,0.0,0.0,0.0,0.0,100.0,21.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
6.0,Cooper Kupp,#10,WR,13.0,464.0,3.0,0.6,69.5,1 (0),3.0,0.7,0.0,0.0,0.0,0.0,100.0,241.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
7.0,Darrell Henderson,#27,HB,4.0,78.0,21.0,26.9,69.0,0 (0),20.0,27.8,0.0,0.0,0.0,0.0,100.0,47.0,6.0,12.8,40.5,6.0,14.0,0.0,0.0,0.0,0.0,100.0
8.0,Cam Akers,#03,HB,1.0,5.0,2.0,40.0,68.5,0 (0),2.0,50.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,,-,0.0,,0.0,0.0,0.0,0.0,
9.0,Alaric Jackson,#77,T,16.0,611.0,611.0,100.0,68.3,1 (0),568.0,100.0,1.0,7.0,33.0,41.0,96.3,314.0,314.0,100.0,62.5,291.0,100.0,1.0,4.0,27.0,32.0,94.3
10.0,Royce Freeman,#24,HB,10.0,121.0,30.0,24.8,67.6,0 (0),24.0,23.1,0.0,0.0,2.0,2.0,95.8,60.0,13.0,21.7,49.9,10.0,20.0,0.0,0.0,2.0,2.0,90.0
10.0,Tyler Higbee,#89,TE,16.0,555.0,50.0,9.0,67.6,2 (0),44.0,8.5,1.0,0.0,3.0,4.0,94.3,282.0,2.0,0.7,45.2,2.0,0.8,1.0,0.0,0.0,1.0,50.0
12.0,Rob Havenstein,#79,T,15.0,557.0,557.0,100.0,66.9,3 (1),520.0,100.0,2.0,3.0,21.0,26.0,97.3,276.0,276.0,100.0,59.0,254.0,100.0,1.0,3.0,19.0,23.0,95.3
13.0,Kevin Dotson,#69,G,15.0,561.0,561.0,100.0,66.8,1 (0),521.0,100.0,4.0,8.0,12.0,24.0,97.3,288.0,288.0,100.0,55.6,263.0,100.0,4.0,4.0,10.0,18.0,95.8
14.0,Hunter Long,#84,TE,3.0,23.0,4.0,17.4,65.2,0 (0),4.0,17.4,0.0,0.0,0.0,0.0,100.0,12.0,1.0,8.3,68.5,1.0,8.3,0.0,0.0,0.0,0.0,100.0
15.0,Steve Avila,#73,G,18.0,726.0,726.0,100.0,65.0,2 (0),676.0,100.0,2.0,7.0,25.0,34.0,97.3,367.0,367.0,100.0,53.3,338.0,100.0,1.0,4.0,23.0,28.0,95.7
16.0,Kyren Williams,#23,HB,13.0,453.0,98.0,21.6,57.7,1 (0),95.0,21.9,1.0,1.0,7.0,9.0,94.7,234.0,41.0,17.5,49.0,40.0,17.9,0.0,1.0,4.0,5.0,93.7
17.0,Brycen Hopkins,#88,TE,15.0,58.0,4.0,6.9,56.7,0 (0),4.0,7.1,0.0,0.0,0.0,0.0,100.0,32.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,
18.0,Tremayne Anchrum Jr.,#72,G,4.0,58.0,58.0,100.0,53.4,1 (0),53.0,100.0,1.0,0.0,1.0,2.0,97.2,29.0,29.0,100.0,43.5,28.0,100.0,1.0,0.0,1.0,2.0,94.6
19.0,Joe Noteboom,#70,T,9.0,346.0,346.0,100.0,51.6,1 (0),326.0,100.0,4.0,5.0,19.0,28.0,95.1,170.0,170.0,100.0,49.5,157.0,100.0,4.0,3.0,12.0,19.0,92.7
20.0,Coleman Shelton,#65,C,18.0,712.0,712.0,100.0,49.2,2 (1),664.0,100.0,2.0,12.0,22.0,36.0,97.1,363.0,363.0,100.0,38.3,334.0,100.0,2.0,8.0,15.0,25.0,96.0
21.0,Ronnie Rivers,#20,HB,8.0,65.0,16.0,24.6,46.0,0 (0),15.0,25.4,0.0,0.0,1.0,1.0,96.7,25.0,5.0,20.0,43.0,4.0,19.0,0.0,0.0,1.0,1.0,87.5
22.0,Warren McClendon Jr.,#71,T,2.0,16.0,16.0,100.0,45.0,0 (0),14.0,100.0,1.0,0.0,1.0,2.0,89.3,9.0,9.0,100.0,32.0,9.0,100.0,1.0,0.0,1.0,2.0,83.3
23.0,Zach Thomas,#57,T,1.0,29.0,29.0,100.0,8.6,0 (0),26.0,100.0,2.0,0.0,3.0,5.0,86.5,15.0,15.0,100.0,0.5,12.0,100.0,2.0,0.0,0.0,2.0,83.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
